337233	1036622	cantonesespoken	CC BY 4.0	
343310	1025269	cantonesespoken	CC BY 4.0	
344786	1036623	cantonesespoken	CC BY 4.0	
364850	1025270	cantonesespoken	CC BY 4.0	
385300	1007617	cantonesespoken	CC BY 4.0	
385304	1042340	cantonesespoken	CC BY 4.0	
385305	1025271	cantonesespoken	CC BY 4.0	
385321	1007618	cantonesespoken	CC BY 4.0	
385488	1036624	cantonesespoken	CC BY 4.0	
385509	1007619	cantonesespoken	CC BY 4.0	
385516	1036625	cantonesespoken	CC BY 4.0	
385534	1036626	cantonesespoken	CC BY 4.0	
385578	1025272	cantonesespoken	CC BY 4.0	
385580	1036627	cantonesespoken	CC BY 4.0	
385590	1042234	cantonesespoken	CC BY 4.0	
385604	1025273	cantonesespoken	CC BY 4.0	
385608	1042336	cantonesespoken	CC BY 4.0	
385612	994347	cantonesespoken	CC BY 4.0	
385614	990482	cantonesespoken	CC BY 4.0	
385668	1025274	cantonesespoken	CC BY 4.0	
385677	1025275	cantonesespoken	CC BY 4.0	
385918	1025276	cantonesespoken	CC BY 4.0	
385920	990483	cantonesespoken	CC BY 4.0	
385966	1036628	cantonesespoken	CC BY 4.0	
385979	1025277	cantonesespoken	CC BY 4.0	
385981	1025278	cantonesespoken	CC BY 4.0	
386023	1036629	cantonesespoken	CC BY 4.0	
386571	1036630	cantonesespoken	CC BY 4.0	
386746	1038680	cantonesespoken	CC BY 4.0	
386747	990484	cantonesespoken	CC BY 4.0	
386750	1025279	cantonesespoken	CC BY 4.0	
386755	1007620	cantonesespoken	CC BY 4.0	
386771	1025280	cantonesespoken	CC BY 4.0	
386772	1025281	cantonesespoken	CC BY 4.0	
386773	1007621	cantonesespoken	CC BY 4.0	
386861	1042307	cantonesespoken	CC BY 4.0	
386867	1025282	cantonesespoken	CC BY 4.0	
387115	1007622	cantonesespoken	CC BY 4.0	
387614	1042287	cantonesespoken	CC BY 4.0	
387616	1042243	cantonesespoken	CC BY 4.0	
387699	1025283	cantonesespoken	CC BY 4.0	
387775	1025284	cantonesespoken	CC BY 4.0	
387841	1042294	cantonesespoken	CC BY 4.0	
388133	1025285	cantonesespoken	CC BY 4.0	
388370	1025286	cantonesespoken	CC BY 4.0	
388386	1007623	cantonesespoken	CC BY 4.0	
389456	1007624	cantonesespoken	CC BY 4.0	
389458	1036631	cantonesespoken	CC BY 4.0	
389470	1025287	cantonesespoken	CC BY 4.0	
389515	1025288	cantonesespoken	CC BY 4.0	
389517	1038681	cantonesespoken	CC BY 4.0	
389522	1025289	cantonesespoken	CC BY 4.0	
389530	1025290	cantonesespoken	CC BY 4.0	
390389	1038682	cantonesespoken	CC BY 4.0	
390394	1042256	cantonesespoken	CC BY 4.0	
391016	1025291	cantonesespoken	CC BY 4.0	
391593	1042339	cantonesespoken	CC BY 4.0	
392325	1025292	cantonesespoken	CC BY 4.0	
392327	1036632	cantonesespoken	CC BY 4.0	
392332	1007625	cantonesespoken	CC BY 4.0	
392922	1036633	cantonesespoken	CC BY 4.0	
392927	1038683	cantonesespoken	CC BY 4.0	
392988	1025293	cantonesespoken	CC BY 4.0	
393206	1025294	cantonesespoken	CC BY 4.0	
393208	1007626	cantonesespoken	CC BY 4.0	
393212	1025295	cantonesespoken	CC BY 4.0	
393366	994348	cantonesespoken	CC BY 4.0	
393368	1042327	cantonesespoken	CC BY 4.0	
393378	1042305	cantonesespoken	CC BY 4.0	
393381	1025296	cantonesespoken	CC BY 4.0	
393396	1025297	cantonesespoken	CC BY 4.0	
394094	1042301	cantonesespoken	CC BY 4.0	
394096	1036634	cantonesespoken	CC BY 4.0	
394247	1042257	cantonesespoken	CC BY 4.0	
394251	1042232	cantonesespoken	CC BY 4.0	
394255	1025298	cantonesespoken	CC BY 4.0	
