337233	323139
345630	241004
345670	28512
345689	316221
345889	257526
346906	40480
349726	66120
350549	60721
350661	34949
350703	265441
364850	29828
364850	29830
364929	52136
382089	378270
382315	382317
382319	403068
382477	379143
382479	374894
382483	379141
382488	413731
382489	67363
382490	446686
382490	621732
382491	661886
382501	374827
382501	448645
382501	2057650
382502	341634
385304	270829
385311	56877
385316	73062
385316	435249
385333	59793
385338	25661
385415	40442
385416	265603
385472	17820
385477	44609
385488	41462
385509	298642
385512	282740
385514	69368
385516	41552
385534	22143
385536	70009
385578	59023
385580	32236
385582	66587
385584	58785
385590	60777
385592	32809
385602	28637
385604	56885
385606	39926
385608	38900
385614	292024
385677	3630174
385682	53516
385686	292688
385689	58927
385698	274335
385956	35044
385958	31081
385960	35760
385962	60256
385979	45598
385981	64036
385983	242964
385985	278391
385989	310048
385991	55579
385993	46209
385995	61874
385997	30742
386016	19520
386020	48354
386023	38454
386299	69410
386569	277948
386571	41802
386579	42878
386587	67682
386706	23234
386742	267214
386745	25328
386746	743104
386754	25546
386770	254257
386861	57520
386865	38630
386867	257523
387109	60145
387111	311757
387113	320088
387115	70706
387117	19204
387513	36606
387515	2073
387604	48050
387606	302242
387608	73892
387610	309048
387614	48109
387616	19569
387699	37152
387701	286282
387760	16046
387762	27295
387775	61150
387778	30848
387832	51456
387837	262038
387841	20884
387963	60929
388133	55984
388331	289109
388336	70847
388339	65913
388353	244432
388356	38059
388358	435248
388365	55227
388370	253373
388381	39354
388386	309347
389456	67808
389458	41130
389460	34615
389462	48808
389464	24144
389466	40517
389468	52607
389470	50965
389472	52451
389474	38559
389476	40294
389478	36838
389505	280749
389515	1785
389517	22666
389520	28463
389522	26904
389530	271388
389556	37421
389882	36329
389884	60544
389886	46424
389895	23542
389912	45737
389933	284869
389947	287478
389949	34926
389951	35355
389953	27030
389955	52389
389957	244287
389978	259568
389981	27096
390353	290972
390373	53294
390389	326611
390394	318440
390410	387389
390932	265734
390954	319127
390977	43662
390990	47521
391016	259181
391037	317084
391462	63039
391469	18262
391586	253945
391589	299034
391591	269319
391593	325086
391595	66619
391608	313310
392323	67965
392325	61917
392327	23779
392329	282715
392332	28533
392922	242153
392927	32188
392940	248365
392944	241918
392950	246453
392965	327930
392982	1339278
392988	310921
393204	285390
393206	260642
393208	314344
393212	247944
393215	60027
393218	319549
393366	36300
393368	244648
393378	255128
393381	63631
393385	297089
393387	70899
393389	297091
393392	301524
393394	283285
393396	60733
393400	43651
393664	301607
393685	49656
393707	27214
394094	31637
394096	61362
394247	72312
394251	71144
394255	394248
394913	25380
394929	30194
395071	280565
395074	265294
395170	18245
395172	314970
395185	247142
395191	318966
395195	274822
395197	256944
395205	249420
395207	285994
395213	281021
395650	31789
395652	53994
395668	45320
395672	287450
395682	323910
395684	51432
395801	315839
395901	395829
395907	263359
395922	395913
395931	35659
396382	317756
396393	48465
396397	396391
396402	31392
397002	52704
397004	264178
397008	304766
397021	25715
397023	55619
